latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,days_since_last_review,has_been_reviewed,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Private room,room_type_Shared room
40.71577,-73.9553,3.0,11,0.87,1,1,53,1,True,False,False,False,False,False
40.84917,-73.94048,2.0,2,0.16,1,0,378,1,False,True,False,False,True,False
40.68993,-73.95947,2.0,0,0.0,2,0,18085,0,True,False,False,False,True,False
40.68427,-73.93118,3.0,87,4.91,1,267,3,1,True,False,False,False,False,False
40.74705,-73.89564,5.0,13,0.25,1,0,202,1,False,False,True,False,True,False
40.76354,-73.99283,30.0,3,0.21,31,270,36,1,False,True,False,False,False,False
40.76786,-73.95639,7.0,1,1.0,1,43,17,1,False,True,False,False,False,False
40.73316,-74.00476,1.0,42,1.32,1,4,15,1,False,True,False,False,False,False
40.72527,-73.94803,1.0,0,0.0,1,0,18085,0,True,False,False,False,True,False
40.6752,-73.94366,1.0,0,0.0,1,0,18085,0,True,False,False,False,True,False
40.729,-73.98098,30.0,6,0.24,9,150,150,1,False,True,False,False,False,False
40.76193,-73.98573,30.0,0,0.0,65,338,18085,0,False,True,False,False,False,False
40.69867,-73.91968,1.0,0,0.0,5,329,18085,0,True,False,False,False,True,False
40.7233,-73.97882,1.0,4,0.61,1,0,42,1,False,True,False,False,True,False
40.68906,-73.98983,30.0,1,1.0,2,63,13,1,True,False,False,False,False,False
40.7479,-73.87496,1.0,0,0.0,2,170,18085,0,False,False,True,False,True,False
40.70218,-73.93034,3.0,3,0.48,1,0,71,1,True,False,False,False,False,False
40.69265,-73.97009,3.0,95,1.51,2,112,17,1,True,False,False,False,False,False
40.79865,-73.95295,1.0,0,0.0,5,281,18085,0,False,True,False,False,True,False
40.60111,-73.95702,2.0,7,3.82,1,124,17,1,True,False,False,False,True,False
40.80485,-73.9581,30.0,0,0.0,7,364,18085,0,False,True,False,False,True,False
40.75644,-73.82875,2.0,1,0.16,1,0,188,1,False,False,True,False,False,False
40.71588,-73.94297,14.0,4,0.12,1,0,666,1,True,False,False,False,False,False
40.6844,-73.9358,2.0,51,5.03,1,89,7,1,True,False,False,False,False,False
40.8469,-73.94522,4.0,14,0.23,3,0,647,1,False,True,False,False,True,False
40.75068,-73.87739,2.0,5,2.5,1,57,31,1,False,False,True,False,True,False
40.6873,-73.97225,2.0,1,0.02,1,0,1414,1,True,False,False,False,False,False
40.68515,-73.97381,2.0,15,1.91,1,41,43,1,True,False,False,False,False,False
40.66145,-73.96005,10.0,1,0.02,1,0,1273,1,True,False,False,False,True,False
40.72713,-73.94141,30.0,7,0.12,52,327,182,1,True,False,False,False,False,False
40.72656,-73.98758,2.0,16,5.78,1,52,8,1,False,True,False,False,False,False
40.68055,-73.78263,1.0,0,0.0,1,180,18085,0,False,False,True,False,True,False
40.74476,-73.9755,15.0,0,0.0,1,0,18085,0,False,True,False,False,True,False
40.68634,-73.96161,2.0,58,0.61,6,199,34,1,True,False,False,False,False,False
40.83571,-73.94179,1.0,1,1.0,5,364,1,1,False,True,False,False,False,False
40.69423,-73.91993,2.0,3,0.12,1,0,708,1,True,False,False,False,True,False
40.71972,-73.94462,30.0,5,0.42,8,161,52,1,True,False,False,False,False,False
40.85798,-73.92855,7.0,0,0.0,1,67,18085,0,False,True,False,False,False,False
40.65468,-73.95703,3.0,3,0.08,1,0,944,1,True,False,False,False,True,False
40.72084,-73.9554,2.0,4,0.58,1,0,188,1,True,False,False,False,False,False
